injection,heat,heat_stdev,ignore_point
2.35,-3.84997,0.00384997,True
1.5,-0.01429,1.429e-05,False
1.5,-0.19508,0.00019508,False
1.5,0.07319,7.319000000000001e-05,False
1.5,0.22165,0.00022165000000000002,False
1.5,-0.0317,3.17e-05,False
1.5,-0.11582,0.00011582000000000001,False
1.5,-0.05499,5.499e-05,False
1.5,-0.09219,9.219e-05,False
1.5,-0.08168,8.168e-05,False
1.5,-0.06298,6.298e-05,False
1.5,-0.02626,2.626e-05,False
1.5,-0.04239,4.239e-05,False
1.5,-0.03898,3.898e-05,False
1.5,-0.06617,6.617000000000001e-05,False
1.5,-0.07299,7.299e-05,False
1.5,-0.04972,4.972e-05,False
1.5,-0.12477,0.00012477,False
1.5,-0.06699,6.699e-05,False
1.5,-0.07639,7.639e-05,False
1.5,-0.10027,0.00010027,False
1.5,-0.0755,7.55e-05,False
1.5,-0.04777,4.777e-05,False
1.5,-0.05152,5.152e-05,False
1.5,-0.11661,0.00011661000000000001,False
