injection,heat,heat_stdev,ignore_point
2.35,-60.08024,0.06008024000000001,True
1.5,-65.20393,0.06520393000000001,False
1.5,-64.10915,0.06410915,False
1.5,-70.91611,0.07091611,False
1.5,-73.25975,0.07325975,False
1.5,-76.5549,0.07655490000000001,False
1.5,-77.45138,0.07745138,False
1.5,-77.72337,0.07772337,False
1.5,-77.66333,0.07766333,False
1.5,-77.74369,0.07774369,False
1.5,-77.041,0.077041,False
1.5,-77.09095,0.07709095,False
1.5,-76.83698,0.07683698,False
1.5,-73.63155,0.07363155,False
1.5,-17.57266,0.01757266,False
1.5,-0.34913,0.00034913,False
1.5,-0.01429,1.429e-05,False
1.5,0.05406,5.406e-05,False
1.5,0.23884,0.00023884,False
1.5,0.19517,0.00019517000000000002,False
1.5,0.18423,0.00018423000000000002,False
1.5,0.18827,0.00018826999999999998,False
1.5,0.19475,0.00019475000000000002,False
1.5,0.16412,0.00016412,False
1.5,0.1281,0.0001281,False
