injection,heat,heat_stdev,ignore_point
2.35,-43.08542,0.04308542,True
1.5,-54.7782,0.0547782,False
1.5,-55.78187,0.05578187,False
1.5,-57.06075,0.05706075,False
1.5,-53.19219,0.05319219,False
1.5,-58.26338,0.05826338,False
1.5,-55.85693,0.05585693,False
1.5,-56.0371,0.056037100000000006,False
1.5,-56.0273,0.056027299999999995,False
1.5,-56.24262,0.05624262,False
1.5,-55.75734,0.05575734,False
1.5,-55.79785,0.055797849999999996,False
1.5,-55.6889,0.0556889,False
1.5,-55.72474,0.055724739999999995,False
1.5,-55.62816,0.05562816,False
1.5,-55.22869,0.055228690000000004,False
1.5,-55.38051,0.05538051,False
1.5,-55.12981,0.05512981,False
1.5,-53.94497,0.05394497,False
1.5,-29.77071,0.029770710000000002,False
1.5,-1.49263,0.00149263,False
1.5,-0.22988,0.00022988000000000001,False
1.5,-0.08294,8.294e-05,False
1.5,0.03361,3.361e-05,False
1.5,0.11923,0.00011923000000000001,False
