injection,heat,heat_stdev,ignore_point
2.35,-40.4784,0.040478400000000005,True
1.5,-43.48645,0.043486449999999996,False
1.5,-44.59015,0.04459015,False
1.5,-43.15777,0.04315777,False
1.5,-46.7423,0.0467423,False
1.5,-47.26428,0.04726428,False
1.5,-43.52767,0.043527670000000004,False
1.5,-45.13109,0.04513109,False
1.5,-46.05818,0.046058180000000004,False
1.5,-45.33002,0.04533002,False
1.5,-45.31554,0.04531554,False
1.5,-46.1279,0.0461279,False
1.5,-46.44451,0.04644451,False
1.5,-47.34506,0.047345059999999994,False
1.5,-50.42373,0.05042373,False
1.5,-55.0201,0.0550201,False
1.5,-57.28586,0.05728586,False
1.5,-55.60415,0.05560415,False
1.5,-53.57958,0.05357958,False
1.5,-50.61248,0.05061248,False
1.5,-48.89214,0.04889214,False
1.5,-39.98451,0.03998451,False
1.5,-15.83873,0.01583873,False
1.5,-2.56046,0.00256046,False
1.5,-0.08241,8.241e-05,False
