injection,heat,heat_stdev,ignore_point
2.35,-43.55239,0.04355239,True
1.5001,-55.15164,0.05515164,False
1.5001,-55.24487,0.05524487,False
1.5001,-55.11563,0.055115630000000006,False
1.5001,-52.6072,0.0526072,False
1.5001,-55.83644,0.05583644,False
1.5001,-54.91872,0.054918720000000004,False
1.5001,-55.06646,0.05506646,False
1.5001,-55.40612,0.05540612,False
1.5001,-55.7207,0.055720700000000005,False
1.5001,-55.19716,0.055197159999999995,False
1.5001,-54.87701,0.05487701,False
1.5001,-54.82708,0.05482708,False
1.5001,-54.7709,0.0547709,False
1.5001,-54.71221,0.05471221,False
1.5001,-54.40994,0.05440994,False
0.5001,-17.93324,0.017933240000000003,False
0.5001,-17.89662,0.01789662,False
0.5001,-17.85996,0.01785996,False
0.5001,-17.79867,0.017798670000000003,False
0.5001,-17.78522,0.01778522,False
0.5001,-17.73078,0.017730779999999998,False
0.5001,-17.80013,0.01780013,False
0.5001,-17.52538,0.01752538,False
0.5001,-17.28763,0.017287630000000002,False
0.5001,-16.42499,0.01642499,False
0.5001,-13.54416,0.01354416,False
0.5001,-5.9964,0.005996400000000001,False
0.5001,-1.48915,0.00148915,False
0.5001,-0.56002,0.0005600199999999999,False
0.5001,-0.30253,0.00030253,False
0.5001,-0.18791,0.00018791,False
0.5001,-0.09908,9.908000000000001e-05,False
0.5001,-0.09056,9.056e-05,False
0.5001,-0.07653,7.653e-05,False
0.5001,0.00793,7.93e-06,False
0.5001,-0.03339,3.3390000000000004e-05,False
0.5001,-0.04315,4.315e-05,False
0.5001,0.0484,4.84e-05,False
0.5001,-0.04435,4.435e-05,False
0.5001,-0.01707,1.7069999999999998e-05,False
0.5001,-0.05095,5.0950000000000005e-05,False
0.5001,-0.03682,3.6819999999999996e-05,False
