injection,heat,heat_stdev,ignore_point
2.35,-41.1987,0.041198700000000005,True
1.5001,-50.97716,0.05097716,False
1.5001,-55.45676,0.05545676,False
1.5001,-53.01361,0.05301361,False
1.5001,-55.4633,0.0554633,False
1.5001,-57.0268,0.0570268,False
1.5001,-56.93393,0.05693393,False
1.5001,-56.8957,0.0568957,False
1.5001,-56.37884,0.05637884,False
1.5001,-56.34992,0.05634992,False
1.5001,-55.40544,0.05540544,False
1.5001,-55.45237,0.05545237,False
1.5001,-55.52424,0.05552424,False
1.5001,-55.56149,0.05556149,False
1.5001,-55.64543,0.055645429999999996,False
1.5001,-55.13206,0.055132060000000004,False
0.5001,-17.9488,0.017948799999999997,False
0.5001,-18.18468,0.01818468,False
0.5001,-18.09945,0.018099450000000003,False
0.5001,-18.5069,0.018506900000000003,False
0.5001,-18.12862,0.01812862,False
0.5001,-17.83155,0.01783155,False
0.5001,-18.05698,0.01805698,False
0.5001,-17.91199,0.01791199,False
0.5001,-17.35807,0.017358070000000003,False
0.5001,-16.84776,0.01684776,False
0.5001,-14.33288,0.01433288,False
0.5001,-6.57857,0.006578570000000001,False
0.5001,-1.65542,0.00165542,False
0.5001,-0.59079,0.00059079,False
0.5001,-0.3237,0.0003237,False
0.5001,-0.11553,0.00011553,False
0.5001,-0.14026,0.00014026,False
0.5001,-0.16867,0.00016867,False
0.5001,0.000810699,8.10699e-07,False
0.5001,-0.10309,0.00010309,False
0.5001,0.03316,3.316e-05,False
0.5001,-0.01707,1.7069999999999998e-05,False
0.5001,0.00446,4.4600000000000005e-06,False
0.5001,-0.03873,3.8730000000000004e-05,False
0.5001,-0.0299,2.9900000000000002e-05,False
0.5001,-0.06913,6.913e-05,False
0.5001,0.04218,4.2180000000000006e-05,False
