injection,heat,heat_stdev,ignore_point
2.85,-68.04434,0.06804434000000001,True
0.5,-21.12066,0.021120660000000003,False
0.5,-22.21284,0.02221284,False
0.5,-22.12476,0.02212476,False
0.5,-22.16001,0.02216001,False
0.5,-22.15433,0.022154330000000003,False
0.5,-22.27078,0.02227078,False
0.5,-22.16581,0.02216581,False
0.5,-22.13421,0.02213421,False
0.5,-22.27428,0.02227428,False
0.5,-22.18312,0.02218312,False
0.5,-22.23351,0.022233509999999998,False
0.5,-22.26036,0.02226036,False
0.5,-22.29793,0.02229793,False
0.5,-22.22513,0.02222513,False
0.5,-21.96129,0.02196129,False
0.5,-22.00438,0.02200438,False
0.5,-22.22289,0.02222289,False
0.5,-22.0623,0.0220623,False
0.5,-22.2468,0.0222468,False
0.5,-22.22423,0.022224229999999998,False
0.5,-22.19542,0.02219542,False
0.5,-22.17708,0.022177080000000002,False
0.5,-22.19133,0.022191330000000002,False
0.5,-22.19179,0.022191790000000003,False
0.5,-22.14798,0.02214798,False
0.5,-22.30357,0.02230357,False
0.5,-22.27074,0.02227074,False
0.5,-21.93857,0.021938569999999998,False
0.5,-21.8593,0.0218593,False
0.5,-22.03593,0.022035930000000002,False
0.5,-22.0538,0.0220538,False
0.5,-22.0179,0.0220179,False
0.5,-21.98123,0.02198123,False
0.5,-21.96058,0.02196058,False
0.5,-21.90049,0.02190049,False
0.5,-21.89769,0.02189769,False
0.5,-21.87408,0.02187408,False
0.5,-21.78201,0.02178201,False
0.5,-21.52616,0.021526160000000003,False
0.5,-21.36607,0.02136607,False
0.5,-21.07651,0.02107651,False
0.5,-20.16482,0.02016482,False
0.5,-18.99791,0.01899791,False
0.5,-17.47727,0.01747727,False
0.5,-16.16833,0.01616833,False
0.5,-14.9226,0.0149226,False
0.5,-12.08638,0.01208638,False
0.5,-6.61445,0.00661445,False
0.5,-2.37295,0.00237295,False
0.5,-0.93033,0.00093033,False
0.5,-0.49239,0.00049239,False
0.5,-0.32018,0.00032018000000000004,False
0.5,-0.11787,0.00011787000000000001,False
0.5,-0.13386,0.00013386000000000002,False
0.5,-0.12091,0.00012091,False
0.5,-0.0629,6.29e-05,False
0.5,-0.08083,8.083e-05,False
0.5,-0.00596,5.9600000000000005e-06,False
0.5,-0.02565,2.565e-05,False
0.5,-0.00502,5.02e-06,False
0.5,-0.02297,2.2970000000000002e-05,False
0.5,-0.02786,2.786e-05,False
0.5,-0.07559,7.559e-05,False
0.5,-0.01881,1.881e-05,False
0.5,0.11262,0.00011262,False
0.5,-0.17159,0.00017159,False
0.5,-0.04342,4.342e-05,False
0.5,-0.01796,1.796e-05,False
0.5,-0.05436,5.436e-05,False
0.5,-0.00724,7.24e-06,False
0.5,-0.01373,1.3729999999999999e-05,False
