injection,heat,heat_stdev,ignore_point
2.5,-89.33348,0.08933347999999999,True
1.5,-65.18311,0.06518311,False
1.5,-64.60486,0.06460486,False
1.5,-65.14234,0.06514234,False
1.5,-64.84542,0.06484542,False
1.5,-64.94643,0.06494643000000001,False
1.5,-64.87648,0.06487648,False
1.5,-64.60259,0.06460259,False
1.5,-64.87962,0.06487962,False
1.5,-65.03677,0.06503677000000001,False
1.5,-65.17161,0.06517161,False
1.5,-64.81621,0.06481621,False
1.5,-64.43665,0.06443665,False
1.5,-63.4552,0.0634552,False
1.5,-47.57245,0.04757245,False
1.5,-2.26317,0.00226317,False
1.5,-0.05996,5.996e-05,False
1.5,-0.07693,7.693e-05,False
1.5,-0.03239,3.239e-05,False
1.5,-0.05432,5.432e-05,False
1.5,0.01332,1.3320000000000001e-05,False
1.5,-0.01039,1.039e-05,False
1.5,0.09988,9.988e-05,False
1.5,0.04294,4.294e-05,False
1.5,-0.0205,2.05e-05,False
