injection,heat,heat_stdev,ignore_point
2.35,-55.97788,0.05597788,True
0.5,-21.95053,0.02195053,False
0.5,-22.42931,0.02242931,False
0.5,-21.18974,0.021189740000000002,False
0.5,-22.40607,0.02240607,False
0.5,-22.49551,0.02249551,False
0.5,-22.38521,0.022385210000000003,False
0.5,-22.64094,0.022640940000000002,False
0.5,-22.64039,0.02264039,False
0.5,-22.65971,0.02265971,False
0.5,-22.85706,0.022857060000000002,False
0.5,-22.8363,0.0228363,False
0.5,-22.8603,0.0228603,False
0.5,-22.88615,0.02288615,False
0.5,-22.85894,0.02285894,False
0.5,-22.67414,0.022674140000000002,False
0.5,-22.53739,0.022537389999999997,False
0.5,-22.63825,0.02263825,False
0.5,-22.72017,0.02272017,False
0.5,-22.74408,0.02274408,False
0.5,-22.77404,0.02277404,False
0.5,-22.71266,0.02271266,False
0.5,-22.68784,0.02268784,False
0.5,-22.78963,0.022789629999999998,False
0.5,-22.71327,0.02271327,False
0.5,-22.7017,0.0227017,False
0.5,-22.94891,0.022948910000000003,False
0.5,-22.73536,0.02273536,False
0.5,-22.70927,0.02270927,False
0.5,-22.51936,0.02251936,False
0.5,-22.36225,0.02236225,False
0.5,-22.48918,0.02248918,False
0.5,-22.65107,0.022651070000000002,False
0.5,-22.59551,0.022595510000000003,False
0.5,-22.57221,0.02257221,False
0.5,-22.46789,0.02246789,False
0.5,-22.34043,0.02234043,False
0.5,-22.29317,0.02229317,False
0.5,-22.26449,0.022264489999999998,False
0.5,-22.04792,0.022047920000000002,False
0.5,-21.69845,0.02169845,False
0.5,-21.2705,0.021270499999999998,False
0.5,-20.48676,0.02048676,False
0.5,-19.36719,0.019367190000000003,False
0.5,-18.15499,0.018154990000000003,False
0.5,-17.17279,0.01717279,False
0.5,-16.12606,0.016126059999999998,False
0.5,-15.17802,0.01517802,False
0.5,-14.08457,0.01408457,False
0.5,-12.48072,0.01248072,False
0.5,-8.97425,0.00897425,False
0.5,-4.15965,0.00415965,False
0.5,-1.57152,0.00157152,False
0.5,-0.6606,0.0006606,False
0.5,-0.42848,0.00042848,False
0.5,-0.23826,0.00023826,False
0.5,-0.16221,0.00016221,False
0.5,-0.1502,0.0001502,False
0.5,-0.00738,7.3800000000000005e-06,False
0.5,-0.05483,5.4829999999999995e-05,False
0.5,-0.03609,3.6089999999999995e-05,False
0.5,-0.04386,4.3860000000000004e-05,False
0.5,-0.01553,1.5530000000000002e-05,False
0.5,0.00117,1.17e-06,False
0.5,0.03996,3.9960000000000004e-05,False
0.5,0.03985,3.985e-05,False
0.5,-0.0011,1.1e-06,False
0.5,0.08101,8.101e-05,False
0.5,0.02475,2.4750000000000002e-05,False
0.5,0.02091,2.091e-05,False
0.5,-0.03111,3.111e-05,False
0.5,-0.00635,6.35e-06,False
0.5,-0.03054,3.054e-05,False
