injection,heat,heat_stdev,ignore_point
2.35,-43.89886,0.04389886,True
0.25,-10.21459,0.010214589999999999,False
0.25,-10.91355,0.010913550000000001,False
0.25,-10.57564,0.01057564,False
0.25,-10.95072,0.01095072,False
0.25,-10.684,0.010683999999999999,False
0.25,-10.79304,0.01079304,False
0.25,-10.884,0.010884000000000001,False
0.25,-10.75936,0.010759359999999999,False
0.25,-11.03719,0.01103719,False
0.25,-10.70044,0.01070044,False
0.25,-11.22392,0.01122392,False
0.25,-10.52205,0.01052205,False
0.25,-11.23717,0.011237170000000001,False
0.25,-10.56879,0.01056879,False
0.25,-11.28411,0.01128411,False
0.25,-10.63834,0.01063834,False
0.25,-11.07055,0.01107055,False
0.25,-10.74381,0.01074381,False
0.25,-10.99737,0.010997370000000001,False
0.25,-10.88336,0.01088336,False
0.25,-10.8602,0.0108602,False
0.25,-11.06786,0.01106786,False
0.25,-10.97733,0.01097733,False
0.25,-11.23683,0.01123683,False
0.25,-10.70784,0.01070784,False
0.25,-11.33469,0.01133469,False
0.25,-10.64841,0.01064841,False
0.25,-11.38953,0.01138953,False
0.25,-10.65955,0.01065955,False
0.25,-11.27584,0.01127584,False
0.25,-10.78322,0.01078322,False
0.25,-11.11713,0.01111713,False
0.25,-10.91715,0.01091715,False
0.25,-10.98112,0.01098112,False
0.25,-11.09485,0.01109485,False
0.25,-10.78088,0.01078088,False
0.25,-11.2338,0.0112338,False
0.25,-10.6311,0.010631100000000001,False
0.25,-11.32088,0.01132088,False
0.25,-10.59582,0.01059582,False
0.25,-11.34096,0.01134096,False
0.25,-10.55981,0.010559810000000001,False
0.25,-11.17933,0.011179330000000001,False
0.25,-10.50247,0.010502470000000002,False
0.25,-11.04745,0.01104745,False
0.25,-10.70941,0.01070941,False
0.25,-10.93638,0.01093638,False
0.25,-11.02829,0.01102829,False
0.25,-10.71243,0.01071243,False
0.25,-11.20926,0.01120926,False
0.25,-10.6517,0.0106517,False
0.25,-11.26267,0.01126267,False
0.25,-10.48944,0.010489440000000001,False
0.25,-11.35968,0.01135968,False
0.25,-10.47231,0.01047231,False
0.25,-11.29349,0.01129349,False
0.25,-10.43387,0.010433870000000001,False
0.25,-11.26095,0.011260949999999999,False
0.25,-10.62759,0.01062759,False
0.25,-11.05907,0.01105907,False
0.25,-10.91205,0.010912050000000001,False
0.25,-10.86178,0.01086178,False
0.25,-11.04628,0.01104628,False
0.25,-10.82976,0.01082976,False
0.25,-11.2538,0.0112538,False
0.25,-10.56978,0.010569779999999999,False
0.25,-11.26017,0.01126017,False
0.25,-10.51779,0.01051779,False
0.25,-11.15772,0.01115772,False
0.25,-10.55953,0.010559530000000001,False
0.25,-10.96708,0.010967079999999999,False
0.25,-10.71915,0.01071915,False
0.25,-10.87244,0.010872439999999999,False
0.25,-10.94924,0.01094924,False
0.25,-10.78534,0.01078534,False
0.25,-10.98084,0.01098084,False
0.25,-10.588,0.010588,False
0.25,-11.06168,0.01106168,False
0.25,-10.54021,0.01054021,False
0.25,-11.02931,0.01102931,False
0.25,-10.22185,0.01022185,False
0.25,-10.79043,0.01079043,False
0.25,-9.74739,0.00974739,False
0.25,-9.28382,0.00928382,False
0.25,-6.24877,0.006248770000000001,False
0.25,-3.0099,0.0030099000000000002,False
0.25,-1.11983,0.00111983,False
0.25,-0.58395,0.00058395,False
0.25,-0.34117,0.00034116999999999996,False
0.25,-0.16826,0.00016826,False
0.25,-0.01805,1.805e-05,False
0.25,-0.05897,5.897e-05,False
0.25,-0.08674,8.674e-05,False
0.25,-0.12048,0.00012048000000000001,False
0.25,-0.16195,0.00016195,False
0.25,-0.32127,0.00032127,False
0.25,-0.10925,0.00010925,False
0.25,0.81616,0.00081616,False
0.25,-0.99133,0.0009913300000000001,False
0.25,-0.11472,0.00011472,False
0.25,-0.03697,3.697000000000001e-05,False
0.25,0.29547,0.00029547000000000004,False
0.25,0.13741,0.00013741,False
0.25,0.46813,0.00046813,False
0.25,-0.03789,3.789e-05,False
0.25,-0.10578,0.00010578000000000001,False
0.25,0.09266,9.266000000000001e-05,False
0.25,-0.10367,0.00010367,False
0.25,-0.14305,0.00014305,False
0.25,-0.09277,9.277000000000001e-05,False
0.25,0.05596,5.5960000000000006e-05,False
0.25,0.0246,2.46e-05,False
0.25,-0.05372,5.372e-05,False
0.25,0.13765,0.00013764999999999998,False
0.25,0.09171,9.171e-05,False
0.25,0.00446,4.4600000000000005e-06,False
0.25,0.15602,0.00015602,False
0.25,-0.0336,3.36e-05,False
0.25,-0.03258,3.2579999999999996e-05,False
0.25,-0.02395,2.395e-05,False
0.25,-0.02636,2.6360000000000002e-05,False
0.25,0.06548,6.548e-05,False
0.25,0.05785,5.785e-05,False
0.25,0.2336,0.0002336,False
0.25,0.07628,7.628000000000001e-05,False
0.25,-0.01704,1.704e-05,False
0.25,0.02786,2.786e-05,False
0.25,0.0051,5.1e-06,False
0.25,0.02739,2.739e-05,False
0.25,-0.08663,8.663e-05,False
0.25,-0.09914,9.914e-05,False
0.25,0.07261,7.261e-05,False
0.25,-0.11907,0.00011907,False
0.25,0.03747,3.7470000000000005e-05,False
0.25,-0.00435,4.35e-06,False
0.25,0.05881,5.881e-05,False
0.25,-0.06901,6.901e-05,False
0.25,-0.05697,5.697e-05,False
0.25,-0.00632,6.3200000000000005e-06,False
0.25,0.0417,4.1700000000000004e-05,False
0.25,0.06359,6.358999999999999e-05,False
0.25,0.02614,2.614e-05,False
0.25,-0.09183,9.183e-05,False
0.25,0.05069,5.069e-05,False
