injection,obs_heat,heat_std,ignore_point,heat_stdev
2.35e-06,-1.7491e-06,0,True,0.1
1.5e-06,8.709e-08,0,False,0.1
1.5e-06,-5.587e-08,0,False,0.1
1.5e-06,1.021e-08,0,False,0.1
1.5e-06,1.75655e-06,0,False,0.1
1.5e-06,-1.86322e-06,0,False,0.1
1.5e-06,-1.909e-08,0,False,0.1
1.5e-06,-9.784e-08,0,False,0.1
1.5e-06,-1.4389e-07,0,False,0.1
1.5e-06,-1.7952e-07,0,False,0.1
1.5e-06,-9.946e-08,0,False,0.1
1.5e-06,-1.915e-08,0,False,0.1
1.5e-06,-2.182e-08,0,False,0.1
1.5e-06,-3.853e-08,0,False,0.1
1.5e-06,-3.838e-08,0,False,0.1
1.5e-06,-5.31e-08,0,False,0.1
1.5e-06,-5.101e-08,0,False,0.1
1.5e-06,-7.015e-08,0,False,0.1
1.5e-06,-2.583e-08,0,False,0.1
1.5e-06,1.99e-09,0,False,0.1
1.5e-06,-1.206e-08,0,False,0.1
1.5e-06,-8.337e-08,0,False,0.1
1.5e-06,-8.477e-08,0,False,0.1
1.5e-06,-1.629e-08,0,False,0.1
1.5e-06,-5.862e-08,0,False,0.1
